;Unnamed: 0;name;grade;stars;prices;address;gps;date;nb_personne;link
115;115;Hôtel MARAIS HÔme;4,4;3.0;202 €;38 Boulevard Du Temple, Paris, Paris, 75011;[48.8654348, 2.3656744];11/10/2022;2;https://fr.hotels.com/ho431586/hotel-marais-home-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565334439&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212952757&sort=RECOMMENDED&top_dp=202&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200288063&selectedRatePlan=201719359&expediaPropertyId=1251788
116;116;Opera Deauville Hotel;3,7;3.0;197 €;40 Rue D Amsterdam, Paris, Paris, 75009;[48.8781596, 2.3270357];11/10/2022;2;https://fr.hotels.com/ho127926/opera-deauville-hotel-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565334440&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=197&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=423843&selectedRatePlan=201636721&expediaPropertyId=53583
117;117;Hotel Flor Rivoli;3,6;2.0;109 €;13 Rue Des Deux Boules, Paris, Paris, 75001;[48.8591821, 2.3451933];11/10/2022;2;https://fr.hotels.com/ho346860/hotel-flor-rivoli-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565334440&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212955788&sort=RECOMMENDED&top_dp=109&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200270202&selectedRatePlan=256164730&expediaPropertyId=3584917
118;118;Hôtel Du Brabant;;2.0;74 €;18 Rue Des Petits Hotels, Paris, Paris, 75010;[48.8774785, 2.353728];11/10/2022;2;https://fr.hotels.com/ho287326/hotel-du-brabant-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565334439&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=74&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200271600&selectedRatePlan=202795208&expediaPropertyId=2520450
119;119;Hotel Panache;4,3;4.0;195 €;1, rue Geoffroy Marie, Paris, Paris, 75009;[48.8732316, 2.3432488];11/10/2022;2;https://fr.hotels.com/ho442904/hotel-panache-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565334441&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=195&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200380629&selectedRatePlan=207419496&expediaPropertyId=6716425
120;120;New Hotel Opera;3,6;3.0;139 €;4 Rue De Liège, Paris, Paris, 75009;[48.8797247, 2.3287485];11/10/2022;2;https://fr.hotels.com/ho288531/new-hotel-opera-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565334439&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=139&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200512324&selectedRatePlan=202752971&expediaPropertyId=441574
121;121;Hotel Peyris Opera;4,0;3.0;183 €;10 Rue Du Conservatoire, Paris, Paris, 75009;[48.8739068, 2.3470581];11/10/2022;2;https://fr.hotels.com/ho136126/hotel-peyris-opera-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565334444&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=183&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201033605&selectedRatePlan=205041983&expediaPropertyId=81754
122;122;Hotel Alexandrie;3,9;3.0;169 €;19 rue d'Austerlitz, Paris, 75012;[48.8473163, 2.3710504];11/10/2022;2;https://fr.hotels.com/ho45794336/hotel-alexandrie-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565334441&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953907&sort=RECOMMENDED&top_dp=169&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=201687352&selectedRatePlan=208412347&expediaPropertyId=1399823
123;123;Timhotel Paris Gare du Nord;3,4;3.0;148 €;37 Rue De Saint Quentin, Paris, Paris, 75010;[48.8795539, 2.3557506];11/10/2022;2;https://fr.hotels.com/ho198334/timhotel-paris-gare-du-nord-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565334443&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953155&sort=RECOMMENDED&top_dp=148&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=202315203&selectedRatePlan=212022571&expediaPropertyId=1140512
124;124;Hotel Migny Opera Montmartre;3,3;3.0;209 €;13 Rue Victor Massé, Paris, Paris, 75009;[48.8806067, 2.339103];11/10/2022;2;https://fr.hotels.com/ho200649/hotel-migny-opera-montmartre-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565334442&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212957556&sort=RECOMMENDED&top_dp=209&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=26929&selectedRatePlan=201578797&expediaPropertyId=909202
125;125;Hotel Lucien & Marinette;4,3;3.0;133 €;11 rue de Chabrol, Paris, 75010;[48.8765332, 2.3549596];11/10/2022;2;https://fr.hotels.com/ho1295246976/hotel-lucien-marinette-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565334441&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953679&sort=RECOMMENDED&top_dp=133&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=218166208&selectedRatePlan=274242334&expediaPropertyId=40445218
126;126;Hôtel d'Espagne;4,3;3.0;194 €;9, Cité Bergère, Paris, Paris, 75009;[48.8720237, 2.3447376];11/10/2022;2;https://fr.hotels.com/ho287493/hotel-d-espagne-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565334441&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212953989&sort=RECOMMENDED&top_dp=194&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200517175&selectedRatePlan=202768759&expediaPropertyId=564952
127;127;Hotel de Roubaix;4,2;2.0;131 €;6, rue Greneta, Paris, Paris, 75003;[48.8654768, 2.3528597];11/10/2022;2;https://fr.hotels.com/ho484495/hotel-de-roubaix-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565334442&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248635212955967&sort=RECOMMENDED&top_dp=131&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200854580&selectedRatePlan=204764634&expediaPropertyId=9619719
128;128;Idol Hotel;4,6;4.0;215 €;16 Rue d'Edimbourg, Paris, Paris, 75008;[48.8795063, 2.3203278];11/10/2022;2;https://fr.hotels.com/ho282417/idol-hotel-paris-france/?chkin=2022-10-11&chkout=2022-10-12&x_pwa=1&rfrr=HSR&pwa_ts=1648565334440&referrerUrl=aHR0cHM6Ly9mci5ob3RlbHMuY29tL0hvdGVsLVNlYXJjaA%3D%3D&useRewards=false&rm1=a2&regionId=179898&destination=Paris+%28et+environs%29%2C+France&destType=MARKET&neighborhoodId=553248634838840690&sort=RECOMMENDED&top_dp=215&top_cur=EUR&semdtl=&userIntent=&selectedRoomType=200781443&selectedRatePlan=203982755&expediaPropertyId=558173
